"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Profile Management","1","0","","0"
"0","","0","Authentication Operations","4","0","","0"
"0","","0","Brand Directory Management","2","0","","0"
"0","","0","Product Catalog Management","4","0","","0"
